shipper_code,shipper_name,address1,postcode,state,country,telephone,email,city,fax,mobile,contact,remark,tax_exclusive,manual_rate,invoice_format,credit_limit,term_day,acc_bal,user_id
DYNAMICBOOK,Dynamic Book Store Sdn Bhd,"No. 43 & 45, Jalan Stesen",34000,PERAK,MALAYSIA,05-8076799,dbstore2000@gmail.com,Taiping,,,,,0,0,,,,,
DORINKU,Dorinku Private Label Sdn Bhd,"No. 10, Jalan Astaka U8/88B, Bukit Jelutong",40150,SELANGOR,MALAYSIA,017-5717501,,Shah Alam,,,,,0,0,,,,,
DYKREATIF,DY Kreatif Network,"No. 21, Jalan LP 1/6, ",43300,SELANGOR,MALAYSIA,016-6611470,dykreatif@gmail.com,Taman Lestari Perdana Seri Kembangan,,,,,0,0,,,,,
E1BOOK,E1 Publication Sdn Bhd,"No. 9-4, Jalan Tasik Selatan 8,",57000,KUALA LUMPUR ,MALAYSIA,03-90579933,, Bandar Tasik Selatan,,,,,0,0,,,,,
EDUKID,Edukid Distributors Sdn Bhd,"No. 5, Jln Perusahaan Amari,",68100,SELANGOR,MALAYSIA,03-61787861,edukidbooks@gamil.com,Amari Business Park,,,,,0,0,,,,,
EDMEGAH,Edaran Megah Enterprise,"No. 108-08-07, Villa Emas Condo,",11920,PENANG,MALAYSIA,04-6581314,,Persiaran Bayan Indah Bayan Lepas,,,,,0,0,,,,,
FCBIOS,FC-BIOS Sdn Bhd,"No. 31 & 33, Jalan SS 15/4B, SS 15",47500,SELANGOR,MALAYSIA,03-56351559,sales@fcbios.com.my,Subang Jaya,,,,,0,0,,,,,
EMIFILE,Emi-File (M) Sdn Bhd,"No. 3-5, Jalan P1, Kawasan Perindustrian,",43300,SELANGOR,MALAYSIA,03-89615002,marketing@emifile.com,Kampung Baru Balakong Seri Kembangan,,,,,0,0,,,,,
EDIKHWAN,Edaran Ikhwan Enterprise,"No. 42-G, Cangkat Bukit Belah",11920,PENANG,MALAYSIA,012-5197218,,Bayan Lepas,,,,,0,0,,,,,
ENGCENTRE,Eng Language Centre,"No. 39, Jalan Wayang Gambar",34000,PERAK,MALAYSIA,,,Taiping,,,,,0,0,,,,,
ELITEED,Elite Educational Supplies,"No. 15, Tingkat Pasir Belanda 4,",11920,PENANG,MALAYSIA,012-4081617,eliteedu88@gmail.com,Teluk Kumbar Bayan Lepas,,,,,0,0,,,,,
ESTEEM,Esteem Orb Sdn Bhd,"No.1, Jalan Sepadu 25/123A,",40150,SELANGOR,MALAYSIA,03-55258850,esteemorb@outlook.com,Taman Perindustrian Axis Shah Alam,,,,,0,0,,,,,
EPH,EPH Publishing (M) Sdn Bhd,"No.8, Jalan 7/118B, Desa Tun Razak",56000,KUALA LUMPUR ,MALAYSIA,03-91796363,eph@popularworld.com,,,,,,0,0,,,,,
EDARANSOON,Edaran Soon Wang Bk Str,"No. 20, Lorong Belimbling 3, Bukit Mertajam",14000,PENANG,MAAYSIA,012-4186168,,,,,,,0,0,,,,,
EVANGEL,Evangel Book Centre,"No. 31, Jalan SS2/64, Sea Park",47300,SELANGOR,MALAYSIA,03-78757775,,Petaling Jaya,,,,,0,0,,,,,
EDARANYAKIN,Edaran Yakin Enterprise,"No. 7, Tingkat Impian Indah 2, Taman Impian Indah",14000,SELANGOR,MALAYSIA,04-5060115,, Bukit Mertajam Bayan Lepas,,,,,0,0,,,,,
EZFRESH,Ez Fresh Enterprise,"No. 109, Kawasan Perusahaan Tandop, ",05050,KEDAH,MALAYSIA,04-7724115,ezfresh1_enterprise@yahoo.com,Lebuhraya Sultanah Bahiyah Alor Setar,,,,,0,0,,,,,
FEDERAL,Federal Stationery & Publishing Co Sdn Bhd,"No. 16, Jalan PJU 3/49, Technology Park, ",47810,SELANGOR,MALAYSIA,03-78052135,, Sunway Damansara Petaling Jaya,,,,,0,0,,,,,
FINESUCCESS,Fine Success Enterprise,"No. 276, Jalan Dato Ismail Hashim, Sungai Ara",11900,PENANG,MAAYSIA,012-4143633,,Bayan Lepas,,,,,0,0,,,,,
GEMILITE,Gemilite Sdn Bhd,"No. 15, Jalan PJS 11/20, Bandar Sunway",47500,SELANGOR,MALAYSIA,03-56351111,nor_genilite@yahoo.com,Petaling Jaya,,,,,0,0,,,,,
GERAKBUDAYA,GB Gerakbudaya Enterprise Sdn Bhd,"No. 2, Jalan Bukit 11/2, Seksyen 11",46200,SELANGOR,MALAYSIA,03-79541355,gerak@gerakbudaya.com,Petaling Jaya,,,,,0,0,,,,,
BUKUSBC,Galeri Buku Sbc Sdn Bhd,"No. 50&51, Jalan Kenanga 29/3, ",81000,JOHOR ,MALAYSIA,07-6625316,,Taman Indah Pura Kulai,,,,,0,0,,,,,
GALLERIESGIFTS,Galleries Gifts House Sdn Bhd,"No. 16-1, Block B, The Wharf Biz, Jalan Pp 5/1,",47100,SELANGOR,MALAYSIA,03-80522188,,Taman Tasik Prima Puchong,,,,,0,0,,,,,
GERAKILMU,Gerak Ilmu Sdn Bhd,"No. 40, Jalan Bagan Nira 26/8, Seksyen 26",40400,SELANGOR,MALAYSIA,03-51929622,,Shah Alam,,,,,0,0,,,,,
GLOBAL,Global Mediastreet Sdn Bhd,"No. 15, Jalan 9/152, Taman Perindustrian Oug",58200,KUALA LUMPUR ,MALAYSIA,03-77836309,enquiry@mediastreet.com.my," Batu 6 1/2, Jalan Puchong",,,,,0,0,,,,,
GENTA,Genta Media Sdn Bhd,"2nd Floor, Block A, Wisma Wenworth KL,",55100,KUALA LUMPUR ,MALAYSIA,03-92818105,,Jalan Yew Off Jalan Pudu,,,,,0,0,,,,,
GREENTECH,Green Tech Lighting & Power Saving,"No. 99, Jalan USJ 2/4Q Subang Jaya",47600,SELANGOR,MALAYSIA,012-2681683,,,,,,,0,0,,,,,
HASANI,Hasani Edar Sdn Bhd,"No. 43-A & 44-A, Jalan Pengkalan, ",08000,KEDAH,MALAYSIA,04-4253699,edarbooks@hasani.com.my,Taman Pekan Baru Sungai Petani,,,,,0,0,,,,,
HYPERSURF,Hypersurf Corporation Sdn Bhd,"No 1, Jalan 4/118C, Desa Tun Razak Industrial Park",56000,KUALA LUMPUR ,MALAYSIA,03-91726701,,Cheras,,,,,0,0,,,,,
HDGROW,HD Grow Enterprise,"No. 5460, Jalan Bukit Tengah, Taman Indah",14000,PENANG,MALAYSIA,04-5086833,,Bukit Mertajam,,,,,0,0,,,,,
HONGLEUNG,Hong Leung Shoe Sdn Bhd,"No. 15, Jalan Helang Bukit (Jalan 115)",52100,KUALA LUMPUR ,MALAYSIA,03-62743334,enquiry@hlshoe.com," Industrial Estate, Kepong Baru",,,,,0,0,,,,,
HPBERJAYA,Hp Berjaya Enterprise,"No. 30, Jalan Balai Kampar",31900,PERAK,MALAYSIA,05-4668342,,,,,,,0,0,,,,,
IRASBUDI,Iras Budi Resources Sdn Bhd,"No. 13, Lintasan Relau, Jalan Menteri",34100,PERAK,MALAYSIA,05-8391324,,Selama,,,,,0,0,,,,,
IMAHIR,I Mahir Sdn Bhd,"No. 18, Jalan SS 26/11, Taman Mayang Jaya",47301,SELANGOR,MALAYSIA,012-2332726,,Petaling Jaya,,,,,0,0,,,,,
INTHING,Inthing Marketing,"Lot 4A/11, 4th Floor, Jln 4/37A, Kawasan Industri Taman Bukit Maluri",52100,KUALA LUMPUR ,MALAYSIA,03-62736605,,Kepong,,,,,0,0,,,,,
INSPIRE,Inspire Concepts Sdn Bhd,"No. 30, Jalan Sungai Jeluh 32/192,Nouvelle Kemuning Industrial Park, Bukit Rimau",40460,SELANGOR,MALAYSIA,03-51316886,,Shah Alam,,,,,0,0,,,,,
INTRABAKTI,Intrabakti Sdn Bhd,"D-1-6, Setiawangsa Business Sultes, ",54200,KUALA LUMPUR ,MALAYSIA,03-42573115,,"Jalan Setiawangsa 11, Taman Setiawangsa",,,,,0,0,,,,,
ISSFACILITY,ISS Facility Services Sdn Bhd,"B-7-5, 7th Floor, Block B, Jalan Kenari 5,",47170,SELANGOR,MALAYSIA,03-80761133,,"IOI Boulevard, Bandar Puchong Jaya",,,,,0,0,,,,,
PURMEI,Jas Purmei Trading,"No. 12, Jalan Kencana 17, Taman Kencana",56100,KUALA LUMPUR ,MALAYSIA,03-42800664,,,,,,,0,0,,,,,
JSWISDOM,JS Wisdom Enterprise,"No. 119, Taman Mutiara Mergong",05150,KEDAH,MALAYSIA,010-7885285,,Alor Setar,,,,,0,0,,,,,
JUPITER,Jupiter High Enterprise,No. 1200 Taman Seri Kota Fasa 5,05400,KEDAH ,MALAYSIA,,,Jalan Kuala Kedah Alor Setar,,,,,0,0,,,,,
KPOINT,K-Point O.E. Sdn Bhd,"No. 8 & 9, Jalan Indah 2/7, Taman Indah, 11 Miles",43200,SELANGOR,MALAYSIA,03-90768962,simonteoh@pointgroup.com.my,Cheras,,,,,0,0,,,,,
KUALITI,Kualiti Books Sdn Bhd,"No. 6, Jalan PJS 1/29, Taman Petaling Utama",46150,SELANGOR,MALAYSIA,03-77819662,info@kualitibooks.com,Petaling Jaya,,,,,0,0,,,,,
KAMALBOOK,Kamal Medical Books Supplies Sdn Bhd,"No. 134, Jalan Pahang, Setapak",53000,KUALA LUMPUR ,MALAYSIA,03-40214612,kamalmedical@outlook.com,,,,,,0,0,,,,,
KBLEE,KBLEE Educational Supplies,"No. 37, Taman Kristal Jalan Sultanah Sambungan",05150,KEDAH,MALAYSIA,03-61787861,kblee1@yahoo.com,Alor Setar,,,,,0,0,,,,,
KBRBOOK,KBR Book Centre,"No. 1090, Jalan Padang Kelab, Kepala Batas",13200,PENANG,MALAYSIA,,,Seberang Perai,,,,,0,0,,,,,
KANYIN,Kanyin Publications Sdn Bhd,"3A-10, Anzen Business Park, No 3-9, Jalan 4/37A, ",51200,KUALA LUMPUR ,MALAYSIA,03-62731626,kanyinpublications@gmail.com,Kawasan Industri Taman Bukit Maluri Kepong,,,,,0,0,,,,,
KSINNOV,KS Innovative Sdn Bhd,"No. 18, Jalan TK5/41, Kinrara Industrial Park, ",47100,SELANGOR,MALAYSIA,03-80708737,ask@sandarts.com," 13KM, Jalan Puchong , Puchong",,,,,0,0,,,,,
KIDDIBIRD,Kiddibird Sdn Bhd,"No. 19 & 21, Jalan Sbc 6, Taman Batu Caves",68100,SELANGOR,MALAYSIA,03-61841266,fauziah_aziz@kiddibird.com,,,,,,0,0,,,,,
KOHWAI,Kohwai & Young Warehouse,"No. 57 & 58, Jalan PJS 3/2, Taman Medan",46000,SELANGOR,MALAYSIA,03-77851191,,Petaling Jaya,,,,,0,0,,,,,
LOTUS,Lotus Enterprise,"No. 56,  Taman Aman, Jalan Besar, Sungai Siput",31100,PERAK,MALAYSIA,05-5981388,,Kuala Kangsar,,,,,0,0,,,,,
LZHANX,LZ Hanx Sdn Bhd,"No. 16, Jalan PJS 3/48, Taman Sri Manja",46000,SELANGOR,MALAYSIA,03-77811312,,Petaling Jaya,,,,,0,0,,,,,
MARCO,Marco Corporation (M) Sdn Bhd,"25th Floor, Menara JKG, No.282, Jalan Raja Laut,",50350,KUALA LUMPUR ,MALAYSIA,03-27778222,,,,,,,0,0,,,,,
MALAYSIANBOOK,Malaysian Book Promotions Sdn Bhd,"Lot 12 Jalan Teknology 3/4, ",47810,SELANGOR,MALAYSIA,03-61451188,,"Taman Sains Selangor 1, Kota Damansara",,,,,0,0,,,,,
MIKA,Mika Cemerlang Sdn Bhd,"No. 33-1, Jalan USJ 1/1A, Regalia Business Center",47620,SELANGOR,MALAYSIA,03-80233286,esteemorb@outlook.com,Subang Jaya,,,,,0,0,,,,,
MUTIARA,Mutiara Cemerlang Sdn Bhd,"Dataran Millennium, 1-037, Tingkat 1, Jalan 14/1, Seksyen 14,",46100,SELANGOR,MALAYSIA,03-79551953,mutiaracsb@gmail.com,Petaling Jaya,,,,,0,0,,,,,
MEDUBOOK,Medu Books Distributor,"No. 44, Jalan 4/133, Taman Sri Sentosa",58000,KUALA LUMPUR ,MALAYSIA,03-77821707,gookooichooi@gmail.com,,,,,,0,0,,,,,
MEHRAJBOOK,Mehraj Book Distribution,"No. 10, Jalan Pandan 8/8, Pandan Jaya",55100,KUALA LUMPUR ,MALAYSIA,03-92878786,enquiry@mehrajbooks.com.my,,,,,,0,0,,,,,
MEGAFLEXO,Megaflexo Print Sdn Bhd,"No. 69 Jalan Selampit 26, Kawasan 3,",41200,SELANGOR,MALAYSIA,03-33238118,mgaflexo@gmail.com,"Taman Klang Jaya, Klang",,,,,0,0,,,,,
MUTIARAILMU,Mutiara Ilmu Sdn Bhd,"No. 8, Jalan 7/152, Taman Perindustrian Oug,",58200,KUALA LUMPUR ,MALAYSIA,03-79601037,,,,,,,0,0,,,,,
MYLAB,MY Laboratiories & Services,"No. 17, Jalan Rodat 12/KUD 6, Bandar Bukit Raja",41050,SELANGOR,MALAYSIA,03-79665639,,Klang,,,,,0,0,,,,,
MYBOOKS,Mybooks.com Sdn Bhd,"No. 2, Jalan Lp 1a/1, Taman Lestari Perdana",43300,SELANGOR,MALAYSIA,03-89576888,,Seri Kembangan,,,,,0,0,,,,,
MYTEACH,Myteach Sdn Bhd,"No. 21, Jalan Puteri 5/18, Bandar Puteri",47100,SELANGOR,MALAYSIA,03-80667446,,Puchong,,,,,0,0,,,,,
NOVUM,Novum Organum Publishing ,"No. 8, Jalan 7/118b, Desa Tun Razak",56000,KUALA LUMPUR ,MALAYSIA,03-91796250,,House (M) Sdn Bhd,,,,,0,0,,,,,
ORBITBUKU,Orbit Buku Sdn Bhd,"Lot 12, Jalan Teknologi 3/4, Taman Sains Selangor 1,",47810,SELANGOR,MALAYSIA,03-61451188,enquiry@orbitbuku.com.my, Kota Damansara,,,,,0,0,,,,,
OXFORDFAJAR,Oxford Fajar Sdn Bhd,"No. 4 Jalan Pemaju U1/15, Section U1, ",40150,SELANGOR,MALAYSIA,03-56294000,Praba.Subramaniam@oup.com,Hicom-Glenmarie Industrial Park,,,,,0,0,,,,,
OAKPUBLICATION,Oak Publication Sdn Bhd,"No. 43, Jalan SS 4C/6, Taman Rasa Sayang",47301,SELANGOR,MALAYSIA,017-8839737,oakpub@gmail.com,Petaling Jaya,,,,,0,0,,,,,
PANASIA,Pan Asia Publications Sdn Bhd,"No. 2-16, Jalan SU 8, Taman Perindustrian",40300,SELANGOR,MALAYSIA,03-56144168,enquiry@panasiapub.com," Subang Utama, Seksyen 22 Shah Alam",,,,,0,0,,,,,
BUDIMAN,Penerbitan Budiman Sdn Bhd,"No. 7, Jln 4/152, Taman Perindustrian Oug, ",58200,KUALA LUMPUR ,MALAYSIA,03-77701346,budiman201537@yahoo.com.my,Off Jln Puchong,,,,,0,0,,,,,
PUSTAKAGOH,Pustaka Goh,"No. 27, Jalan Kangar-alor Setar, Taman Pertiwi",01000,PERLIS,MALAYSIA,04-9705186,,Kangar,,,,,0,0,,,,,
BUKUALFA,Pusat Buku Alfa,"No. 39, Jalan Leong Sin Nam, Kampung Jawa",30300,PERAK,MALAYSIA,05-2539681,,Ipoh,,,,,0,0,,,,,
BUKUGEMILANG,Pusat Buku Gemilang,"No. 3, Jalan Selasih,  Taman Semarak",O09000,KEDAH,MALAYSIA,04-4919311,,Kulim,,,,,0,0,,,,,
BESTARI,Pustaka Bestari Utara Sdn Bhd,"No. 318, Jalan Perusahaan 2, Taman Bandar Baru Mergong",05150,KEDAH,MALAYSIA,04-7318410,,Alor Setar,,,,,0,0,,,,,
PELANDUK,Pelanduk Publication,"No. 12, Jalan SS 13/3E, Subang Jaya Industrial Estate",47500,SELANGOR,MALAYSIA,03-56386885,,Subang Jaya,,,,,0,0,,,,,
PEP,PEP Publications Sdn Bhd,"Lot 1 & 2, Jalan 7/1A, Taman Bukit Serdang, ",43300,SELANGOR,MALAYSIA,03-61561008,cemerlangsalesdept@gmail.com,Seksyen 7,,,,,0,0,,,,,
INSPIRASI,Penerbitan Inspirasi Sdn Bhd,"No. 83A, Jalan BPU2, Bandar Puchong Utama",47100,SELANGOR,MALAYSIA,03-58910882,pisb.inspirasi@gmail.com,Puchong,,,,,0,0,,,,,
FAMOUS,Pustaka Famous,"No. 105,  Lahat Si Wang 2",31500,PERAK,MALAYSIA,010-3738014,,,,,,,0,0,,,,,
ILMUBAKTI,Penerbit Ilmu Bakti Sdn Bhd,"No. 18, Jalan PJS 5/26, Taman Desaria",46150,SELANGOR,MALAYSIA,03-77833233,info@pib2006.com,Petaling Jaya,,,,,0,0,,,,,
PUSTAKAJITRA,Pustaka Jitra,"No. 23-A, Jalan PJ 1, Pekan Jitra 3",06000,KEDAH,MALAYSIA,04-9170202,,Jitra,,,,,0,0,,,,,
PNINEURON,PNI Neuron (M) Sdn Bhd,"No. 1, Wisma Neuron, Jalan TPP 6/6, ",47100,SELANGOR,MALAYSIA,03-80626229,info@pnineuron.com,Taman Perindustrian Puchong,,,,,0,0,,,,,
POPULAR,Popular Book Co. (M) Sdn Bhd,"No. 8 Jalan 7/118B, Desa Tun Razak",56000,KUALA LUMPUR ,MALAYSIA,03-91796333,albert@popularworld.com,,,,,,0,0,,,,,
PELANGI,Penerbitan Pelangi Sdn Bhd,"Lot 8, P10/10, Kawasan Perusahaan Bangi,",43650,SELANGOR,MALAYSIA,03-89223993,Syarafana@pelangibooks.com,Bandar Baru Bangi,,,,,0,0,,,,,
PSTVISION,PST Vision Enterprise,"No. 116, Jalan Bpj 3A/2, Bandar Puteri Jaya",08000,KEDAH,MALAYSIA,013-4221688,,Sungai Petani,,,,,0,0,,,,,
PUBLICINDUSTRY,Public Industries Sdn Bhd,"Lot Pt 367, Kuala Kangsar Industrial Estate",33000,PERAK,MALAYSIA,05-7762244,,Kuala Kangsar,,,,,0,0,,,,,
PUSTAKANIS,Pustaka Nis,"Blok 01-01-01, Nusavilla, Jalan Jati 11,",79100,JOHOR,MALAYSIA,,,Tmn Nusa Bestari Jaya Nusajaya,,,,,0,0,,,,,
RNS,RNS Marketing,"No. 135 Jalan Jasa, Off Jalan Hj Sirat",41050,SELANGOR,MALAYSIA,03-33426328,,Klang,,,,,0,0,,,,,
SHIRANOE,Shiranoe Sdn Bhd,"Industrial Estate, No. 15, ",52100,KUALA LUMPUR ,MALAYSIA,03-62743334,,"Jalan Helang Bukit, Kepong Baru",,,,,0,0,,,,,
ABDULMAJEED,S Abdul Majeed & Co Sdn Bhd,"7, Jalan Bangsar Utama 3, Bangsar",59000,KUALA LUMPUR ,MALAYSIA,03-22832230,sambooks.my@gmail.com,,,,,,0,0,,,,,
SAMA,Sama Publications & Distributors Sdn Bhd,"First Floor, PJ Industrial Park,",46200,SELANGOR,MALAYSIA,03-79574823,," Jalan Kemajuan, Seksyen 12 Petaling Jaya",,,,,0,0,,,,,
SAP,SAP Publications (M) Sdn Bhd,"No. 40, Jalan Bagan Nira 26/8, Seksyen 26",40400,SELANGOR,MALAYSIA,03-51929622,,Shah Alam,,,,,0,0,,,,,
SBCPEN,SBC Pen Book Distributors Sdn Bhd,"No. 18, Lebuh Rambai 9",11060,PENANG,MALAYSIA,04-8282626,,,,,,,0,0,,,,,
SERMAJU,Sermaju Sdn Bhd,"No. 6, Jalan PBS 14/13, Taman Perindustrian Bukit Serdang",43300,SELANGOR,MALAYSIA,03-89405758,pr@sermaju.com.my,Seri Kembangan,,,,,0,0,,,,,
SPECIAL,Special Enhancement Sdn Bhd,"21A-4, Block H, Jalan PJU 1/37, Dataran Prima",47301,SELANGOR,MALAYSIA,03-78028228,,Petaling Jaya,,,,,0,0,,,,,
SMARTBOOK,Smart Book World,"No. 18, Jalan Simbang, Taman Perling",81200,JOHOR,MALAYSIA,07-2388702,,Johor Bahru,,,,,0,0,,,,,
ROSMIZAH,Siti Rosmizah Publication Sdn Bhd,"16-G , Jalan Hijau 5/3, Green Valley Park,",48020,SELANGOR,MALAYSIA,03-60345418,srpublication10@gmail.com,Bandar Tasik Puteri,,,,,0,0,,,,,
STONEMASON,Stonemason Sdn Bhd,"No.16, Jalan Anggerik Vanilla, ",40460,SELANGOR,MALAYSIA,03-51226212,,R31/R Kota Kemuning Shah Alam,,,,,0,0,,,,,
WOMLYS,Syarikat Womlys Bookstore,"No. 4384, Jalan Raja Uda, ",12300,PENANG,MALAYSIA,04-3330030,,Taman Sin Tat Butterworth,,,,,0,0,,,,,
TANMARK,TanMark Book Centre Sdn Bhd,"No. 281 & 283, Jalan Burmah, Pulau Tikus",10350,PENANG,MALAYSA,,,George Town,,,,,0,0,,,,,
TEKA,Teka Kuchentechnik (M) Sdn Bhd,"No. 10, Jalan Kartunis U1/47, Kawasan Perindustrian Temasya",40150,SELANGOR,MALAYSIA,03-76201600,,Shah Alam,,,,,0,0,,,,,
COMMERCIAL,The Commericial Press Sdn. Bhd,"No. 40, Jalan Pbs 14/8,  Taman Perindustrian Bukit Serdang",43300,SELANGOR,MALAYSIA,03-89457363,,Seri Kembangan,,,,,0,0,,,,,
TEKUN,Tekun Jaya Medic (M) Sdn Bhd,"No. 4, Jalan 3/152, Taman Perindustrian Oug",58200,KUALA LUMPUR ,MALAYSIA,03-77826800,,,,,,,0,0,,,,,
MALAYAPRESS,The Malaya Press Sdn Bhd,"No. 1, Jalan TSB 10, ",47000,SELANGOR,MALAYSIA,03-61573158,tmp@tmpsb.com,Taman Perindustrian Sungai Buloh,,,,,0,0,,,,,
TIMES,Times Educational Co Sdn Bhd,"No. 18, Jalan 19/3",48300,SELANGOR,MALAYSIA,03-79571766,,,,,,,0,0,,,,,
TOAD,Toad Publishing & Distribution Sdn Bhd,"No. 28, Jalan BPU 8, Bandar Puchong Utama",47120,SELANGOR,MALAYSIA,03-58911668,toadpublishing@live.com,Puchong,,,,,0,0,,,,,
TOYO,Toyo Stationery Corporation (M) Sdn Bhd,"No. 2 & 4, Jalan Industri Mas 3, Taman Mas Sepang",47100,SELANGOR,MALAYSIA,03-80682325,admin_my@toyostationery.com,Puchong,,,,,0,0,,,,,
