shipper_code,shipper_name,address1,postcode,state,country,telephone,email,city,fax,mobile,contact,remark,tax_exclusive,manual_rate,invoice_format,credit_limit,term_day,acc_bal,user_id
SJLEARNING,SJ LEARNING,"25, Jalan USJ 17/10A,",47630,SELANGOR,MALAYSIA,03-80111710,info@sjlearning.com.my,"Selangor Darul Ehsan,",,,,,0,0,,,,,
AKYU,AKYU (M) SDN BHD,"NO.15, JLN BP 4/1, BANDAR BUKIT PUCHONG,",47120,SELANGOR,MALAYSIA,03-80668896,info@akyu.com.my,,,,,,0,0,,,,,
ACL,ASIA COMMERCE LOGISTICS SDN BHD,"Unit T2-L9, Level 9, Tower 2, PJ 33 (Jaya 33), Jalan Semangat, Seksyen 13",46200,SELANGOR,MALAYSIA, 03-2615 1111,enquiry-my@experian.com,,,,,,0,0,,,,,
HLC,HLC MAJU ENTERPRISE,,,,,014-9029069,,,,,,,0,0,,,,,
P DINAMIK UTAMA,PUSTAKA DINAMIK UTAMA,"A43 G Floor,Bandar Baru Mergong,Taman Bandar Baru Mergong,05150 Alor Setar,Kedah.",5150,KEDAH,MALAYSIA,017-520 2182,pustakadinamikutama@gmail.com,,,,,,0,0,,,,,
YOYO GAYA,YOYO GAYA SDN BHD,"18, Jalan Perai Jaya 4, Bandar Perai Jaya",13600,PENANG,MALAYSIA,60124295904,yoyogaya515@gmail.com,,,,,,0,0,,,,,
MAJUEDAR,PERNIAGAAN MAJU EDAR,JALAN INDUSTRI 2 TAMN PERINDUSTRIAN ANSON,36000,PERAK,MALAYSIA,05-6235269,MAJUEDAR@GMAIL.COM,,,,,,0,0,,,,,
PERFECTFOOD,PERFECT FOOD,"JALAN SAWIR BARU 8 , TAMAN PERINDUSTRIAN SAWIT BARU",81030,JOHOR,MALAYSIA,07-6522822,mactey.pfp@gmail.com,,,,,,0,0,,,,,
UNICO,UNITED CONFECTIONERY,"JALAN EKO PERNIAGAAN 1/14 EC BUSINESS PARK 1, JOHOR",81100,JOHOR,MALAYSIA,012-9510 227,ng@unitedconfection.com,,,,,,0,0,,,,,
NOBLESPICE,NOBLE SPICE SDN BHD,"NO.32-1,JLN 9A/133, TMN SRI SENTOSA, JLN KLANG LAMA,",58000,KUALA LUMPUR,MALAYSIA,012-2274995,james@noblespice.com,,,,,,0,0,,,,,
SUPER,SUPER PEWTER ENTERPRISE,"NO.54, LORONG MACHANG INDAH 8, TAMAN PERINDUSTRIAN MACHANG INDAH, JALAN SUNGAI LEMBU",14000,PENANG,MALAYSIA,017-4072866,superpewter@gmail,,,,,,0,0,,,,,
SBC,SBC PEN BOOK,BANDAR BARU AYER HITAM PULAU PINANG,11500,PENANG,MALAYSIA,04-8282626,SBC@GMAIL.COM,,,,,,0,0,,,,,
PUSTAKA SAKO AOR,PUSTAKA SAKO AOR,JALAN LANGGAR KEDAH,5460,KEDAH,MALAYSIA,04-7301827,SAKO@GMAIL.COM,,,,,,0,0,,,,,
HLHARDWARE,HL HARDWARE TRADING," Lot No 2362, Batu 37 1/2, Bukit Changgang, Banting, 42700, Selangor",42700,SELANGOR,MALAYSIA,013-3769399,,,,,,,0,0,,,,,
PINTARCERIA,PINTAR CERIA ENTERPRISE,,,PENANG,MALAYSIA,,,,,,,,0,0,,,,,
MILENIUM,MILENIUM VISION SOLUTIONS,"NO.2A, JLN BK 4/2A, BANDAR KINRARA,",47100,SELANGOR,MALAYSIA,016-5649741,,,,,,,0,0,,,,,
FALCON,Falcon MV (M) Sdn Bhd,"53 G, Lebuh Bukit Kecil 2, Taman Sri Nibong",11900,PENANG,MALAYSIA,017-5322208,purchasing@falcon-illumination.com,,,,,,0,0,,,,,
WARISANILMU,PUSTAKA WARISAN ILMU,"321, TMN GEMILANG LORONG 8 ,",6000,KEDAH,MALAYSIA,012-4773408,,,,,,,0,0,,,,,
IMPIAN,PUSTAKA IMPIAN,"NO.18, BLOK A4, PUST PERNIAGAAN BARU TMN DAHLIA, TMN DAHLIA,",81200,JOHOR,MALAYSIA,017-2348702,,,,,,,0,0,,,,,
BEANSENG,BEAN SENG NT SDN BHD,"4, Jalan Industri 2, Taman Industri Bukit Panchor,",14300,PENANG,MALAYSIA,,,,,,,,0,0,,,,,
XFAGLOBAL,XFA GLOBAL FORWARDING SND BHD,"Lot 803, Jalan Kapar, Batu 3 1/2",41400,SELANGOR,MALAYSIA,03-3362 6413,,,,,,,0,0,,,,,
RAMAH,SYARIKAT RAMAH ENTERPRISE,,46000,SELANGOR,MALAYSIA,,,,,,,,0,0,,,,,
IOT,INVENTIVE ONE TRADING,"69, JLN MURNI SATU, TMN DESA MURNI, SG DUA",13800,PENANG,MALAYSIA,014-2512519,,,,,,,0,0,,,,,
MAY CHENG,MAY CHENG,PETALING JAYA,402100,SELANGOR,MALAYSIA,123556100,,,,,,,0,0,,,,,
TROPICAL PRESS,TROPICAL PRESS SDN BHD,"56-2, JALAN MAAROF, BANGSAR BARU",59000,KUALA LUMPUR,MALAYSIA,,,,,,,,,,,,,,
COMFORTSURF,COMFORT SURF,"LOT 1-026, 1ST FLOOR, ENDAH PARADE, NO.1, JLN 1/149E, BANDAR BARU SRI PETALING,",57000,KUALA LUMPUR,MALAYSIA,03-95480072,comfortsurf@gamil.com,,,,,,,,,,,,
PRISMA,PENERBIT PRISMA SDN BHD,"NO.10, JLN PJS 7/17, BANDAR SUNWAY,",46150,SELANGOR,MALAYSIA,03-56380541,,,,,,,,,,,,,
WAYNE,WAYNE,SELANGOR,,SELANGOR,MALAYSIA,,,,,,,,,,,,,,
MBS,MBS NETWORK,"NO.29, JLN BARAT 3,",47120,SELANGOR ,MALAYSIA,019-3440125,mybukustop@gamil.com,,,,,,,,,,,,
CHUNG,CHUNG,SELANGOR,,SELANGOR,MALAYSIA,017-2368083,,,,,,,,,,,,,
MESRAJAYA,PERNIAGAAN MESRAJAYA,"NO.408, JLN AMPANG BARU 8, AMPANG BARU",31400,PERAK,MALAYSIA,012-9508758,perniagaanmesrajaya@gmail.com,,,,,,,,,,,,
KREATIFKEMBARA,KREATIF KEMBARA,SELANGOR,47120,SELANGOR,MALAYSIA,,,,,,,,,,,,,,
ASIAPOLY,ASIA POLY INDUSTRIAL SDN BHD,"LOT 758, JALAN HAJI SIRAT, MUKIM KAPAR",42100,SELANGOR,MALAYSIA,03-33422567,INFO@ASIAPOLY.COM.MY,,,,,,,,,,,,
IQBOOK,IQ BOOK SERVICE,"15, Jalan Ke 1/8, Kota Emerald, 48000 Rawang, Selangor",48000,SELANGOR,MALAYSIA, 012-309 5074,,,,,,,,,,,,,
HKP,HKP ENTERPRISE,"NO.38, TMN LAGENDA INDAH,",8000,KEDAH,MALAYSIA,012-4767837,,,,,,,,,,,,,
LINKBONNY,LINK BONNY SDN BHD,"16A, JLN TK2/1A, TMN KINRARA,",47180,SELANGOR,MALAYSIA,03-80711820,LINKBONNY@GMAIL.COM,,,,,,,,,,,,
IBS,IBS BUKU SDN BHD,"Unit B3-06 PJ Industrial Park, Jalan Kemajuan, 46200 Petaling Jaya, Selangor",46200,SELANGOR,MALAYSIA, 03-7957 9282,ibsbuku@po.jaring.my,,,,,,,,,,,,
PENLINE,PENLINE ART SUPPLIES,"26, Jalan 52/4, Pj New Town, 46200 Petaling Jaya, Selangor",46200,SELANGOR,MALAYSIA,03-7954 7418,,,,,,,,,,,,,
PUSTAKAJIWA,PUSTAKA JIWA SDN BHD,"No. 26, Jalan Sbc 5, Taman Sri Gombak, 68100 Batu Caves, Selangor",68100,SELANGOR,MALAYSIA, 03-6188 3652,books@pusakajiwa.com.my,,,,,,,,,,,,
SHAHBATZILA,SHAHBATZILA MARKETING,"LOT 2507-1 BATU 5 1/2, JALAN GOMBAK",53100,SELANGOR,MALAYSIA,019-6954915,shahbatzila.marketing82@gmail.com,,,,,,,,,,,,
MZCHEMICAL,MZ CHEMICAL SUPPLY/ SERVICES,SELANGOR,,SELANGOR,MALAYSIA,017-2368083,,,,,,,,,,,,,
EQUIPMEDICAL,EQUIP MEDICAL (M) SDN BHD," 11, Jalan Tandang 51/205A, Seksyen 51, 46050 Petaling Jaya, Selangor",46050,SELANGOR,MALAYSIA,03-7772 6338,: sales@equipmedical.com.sg,,,,,,,,,,,,
IMPROCHEM,IMPROCHEM MARKETING,"7398 Jalan Ciku, 40150 Bukit Cherakah - Shah Alam",40150,SELANGOR,MALAYSIA,03 7846 6618,,Selangor Darul Ehsan - West Malaysia - Malaysia,,,,,,,,,,,
GLOBALPUBLISHING,GLOBAL PUBLISHING & DISTRIBUTORS,"A-1-6 GRD FLR SRI INTAN 1 BUSINESS CENTRE, LENGKOK SELINGSING, TMN KOK LIAN,",51200,KUALA LUMPUR,MALAYSIA,03-26323779,,,,,,,,,,,,,
PRISTINE,PRISTINE FRONTIER SDN BHD,"7, Jalan Bukit Desa 5, Taman Bukit Desa,",58100,KUALA LUMPUR,MALAYSIA,03-7981 9327,pfsbkl@gmail.com,,,,,,,,,,,,
ZAKARIA,ZAKARIA SHAH ALAM,,402100,SELANGOR,MALAYSIA,017-2368083,,,,,,,,,,,,,
ZAFAR,PERCETAKAN ZAFAR SDN BHD,"LOT NO.18 & 20, JLN 4/10B SPRING CREST INDUSTRIAL PARK, BATU CAVES,",68100,KUALA LUMPUR,MALAYSIA,03-61875725,,,,,,,,,,,,,
INNOVATE,INNOVATE CREATIONS PLT,"24A-2, JLN BUNGA TANJUNG 8A, TMN MUDA,",56100,KUALA LUMPUR,MALAYSIA,017-5895849,,,,,,,,,,,,,
FESCOPRINT,FESCO PRINT MART,SELANGOR,402100,SELANGOR,MALAYSIA ,017-2368083,,,,,,,,,,,,,
FIRSTIDEA,PUSTAKA FIRST IDEA ENTERPRISE,,402100,SELANGOR,MALAYSIA,,,,,,,,,,,,,,
E-XAJI,E-XAJI ADVERTISING SDN BHD,"15 & 17, JALAN TERATAI 1/2G, TAMAN BUKIT TERATAI,",56100,SELANGOR0,MALAYSIA,03-42807919,exajiprint@yahoo.com,,,,,,,,,,,,
DAISEI,DAISEI CORPORATION SDN BHD,"Suite 1303, 13th Floor, Lobby 1, Block A, Damansara Intan, E-Business Park, No 1, Jalan SS 20/27,",47400,SELANGOR,MALAYSIA,03-77297328,sales@daisei.com.my,,,,,,,,,,,,
SAMTRADING,SAM TRADING CO. SDN BHD.,"2G, JLN REKO, PUSAT HENTIAN KAJANG,",43000,SELANGOR,MALAYSIA,03-87370337,,,,,,,,,,,,,
NEWCENTURY,NEW CENTURY BOOK STORE,"NO.27, PUSAT PERNIAGAAN PERTAMA, JLN PUSAT PERNIAGAAN PERTAMA, OFF JLN SILIBIN,",30100,PERAK,MALAYSIA,05-2544646,,,,,,,,,,,,,
LS,LS SUPPLIER,"No. 2, Solok Naga Kanthan 1, Desa Naga Kanthan, 31200 Chemor, Perak",31200,PERAK,MALAYSIA,016-5937551,,,,,,,,,,,,,
SYABAS,SYABAS ILMU,,402100,SELANGOR,MALAYSIA,017-2368083,,,,,,,,,,,,,
AMAZINGPOSITIVE,AMAZING POSITIVE INSPIRATIONS SDN BHD,"11 JALAN ANGGERIK VANILLA AB 31/AB, KOTA KEMUNING",40460,SELANGOR,MALAYSIA,03 51219019,ap.inspirations.my@gmail.com,,,,,,,,,,,,
TELASTOMER,TELASTOMER ENTERPRISE,"27Jalan Prima, taman Puchong Prima, 47150 Puchong, Selangor Darul Ehsan",402100,SELANGOR,MALAYSIA,017 2368083,cmjye09@gmail.com,,,,,,,,,,,,
KENZENE,KENZENE TRADING (M) SDN BHD,"LOT 36, JALAN 6/2, KAWASAN PERUSAHAAN ,",43300,SELANGOR,MALAYSIA,03 89484370,info@kenzene.com,,,,,,,,,,,,
TAISENG,TAI SENG TRADING,"BB-G-36 JLN PINGGIRAN 1/5, TMN PINGGIRAN PUTRA,",43300,SELANGOR,MALAYSIA,012 2996362,,,,,,,,,,,,,
SSM,SRI SAUJANA MARKETING,"LOT 35, KOMPLEKS KILANG SME BANK BATU CAVES, JALAN SBC 6, TAMAN SRI BATU CAVES,",68100,SELANGOR,MALAYSIA,03 61855759,sri.saujana@yahoo.com,,,,,,,,,,,,
REVO,REVO LUSENSE SDN BHD,"NO.36, LORONG TERAS JAYA 3, KAWASAN PERUSAHAAN RINGAN TERAS JAYA,",13400,PENANG ,MALAYSIA,04 3319905,,,,,,,,,,,,,
MINDADEX,PUSTAKA MINDADEX SDN BHD,"19, Jalan Bendahara 22/7, Bandar Mahkota Cheras, 43200 Cheras, Selangor",43200,KUALA LUMPUR,MALAYSIA,016 3353855,,,,,,,,,,,,,
VJSUCCESS,VJ SUCCESS ENTERPRISE,"109-8-16 JALAN PUDU ULU, JALAN CHERAS",56100,SELANGOR,MALAYSIA,012 2408770,vj_successenterprise@hotmail.com,,,,,,,,,,,,
READRESOURCES,READ RESOURCES SDN BHD," 50, Jalan Kemajuan, Seksyen 12, 46200 Petaling Jaya, Selangor",46200,SELANGOR,MALAYSIA, 03-7955 4890, readresources.info@gmail.com.,,,,,,,,,,,,
QIBLA,QIBLA GLOBAL,,402100,SELANGOR,MALAYSIA,017 2368083,,,,,,,,,,,,,
FLEXTECH,FLEX TECH INDUSTRIAL SUPPLY,"NO 56 JALAN LAGUN 25/109,",40400,SELANGOR,MALAYSIA,012-605 1079,,,,,,,,,,,,,
OCTOPUS,OCTOPUS RESOURCES SDN BHD,"NO 41, JALAN LAYANG-LAYANG 4, BANDAR PUCHONG JAYA,",47100,SELANGOR,MALAYSIA,03-58911823,octopus.recycling@gmail.com,,,,,,,,,,,,
INFINITY,NUR INFINITY VENTURES,"LOT 2997, JALAN SEPAKAT,  TAMAN BERLIAN",68100,SELANGOR,MALAYSIA,016-3679654,nurinfinityventures@gmail.com,,,,,,,,,,,,
JAKSA,PERUSAHAAN JAKSA BERSATU SDN BHD,"NO 7&7A, JALAN 18/17, TAMAN KANAGAPURAM",46000,SELANGOR,MALAYSIA,03 77843017,arpolkhoo@yahoo.com,,,,,,,,,,,,
NICETRADE,NICETRADE ENTITY SDN BHD,"NO 24 JALAN EMAS JAYA 1, TAMAN EMAS JAYA",83000,JOHOR,MALAYSIA,07-4152515,giashin515@gmail.com,,,,,,,,,,,,
EVERBEST,EVERBEST MEDIA SDN BHD,"39 JALAN SBC 8, TAMAN SRI BATU CAVES",68100,SELANGOR,MALAYSIA,03 61842003,,,,,,,,,,,,,
PTS,PTS PUBLICATIONS & DISTRIBUTORS SDN BHD,"NO 12, JALAN DBP, DOLOMITE BUSINESS PARK",68100,SELANGOR,MALAYSIA,03 61880316,sales@pts.com.my,,,,,,,,,,,,
LNP,LNP SYNERGY SDN BHD,"76-G, JALAN PJS 5/30, PUSAT PERDAGANGAN PETALING JAYA SELATAN",46150,SELANGOR,MALAYSIA,03 77812168,,,,,,,,,,,,,
KKM,KAYA KAYA MEDIA SDN BHD,,402100,SELANGOR,MALAYSIA,017 2368083,,,,,,,,,,,,,
BUBBLE,BUBBLE 02," 7-51, 02, Jln Medan Pusat Bandar 8A, Seksyen 9, 43650 Bandar Baru Bangi, Selangor",43600,SELANGOR,MALAYSIA,017 2368083,,,,,,,,,,,,,
CAMPAP,CAMPAP MARKETING SDN BHD,"6428 Lorong Mak Mandin Tiga, Mak Mandin Industrial Estate",13400,PENANG,MALAYSIA,04 3230499,suriyakala@campap.com,,,,,,,,,,,,
MCLAB,MC LAB SUPPLIES,"NO.9, JLN PJU 1A/23D,PETALING JAYA",47301,SELANGOR,MALAYSIA,012 3291293, mclab@mclab.com,,,,,,,,,,,,
DAVEX,DAVEX (M) SDN BHD,"65, JLN PJS 11/7, BANDAR SUNWAY,SUBANG JAYA",47500,SELANGOR,MALAYSIA,03 56364348,phoebe@davislighting.com,,,,,,,,,,,,
DASARJAYA,PUSTAKA DASAR JAYA," No. 26, Jalan Puj 2/27, Taman Puncak Jalil, Selangor,  Seri Kembangan",43300,SELANGOR,MALAYSIA,017 2368083,,,,,,,,,,,,,
 GTS,GERMAN TOOLIN SYSTEM,"33, Jalan Puteri 5/20, Bandar Puteri, 47100 Puchong, Selangor",47100,SELANGOR,MALAYSIA,017 2368083,,,,,,,,,,,,,
IMPIANA,IMPIANA PUB & DISTRI SDN BHD,"No 8, Jalan PJS 3/45, Taman Sri Manja Off Jalan Klang Lama ",46000 ,SELANGOR,MALAYSIA,017 2368083,,,,,,,,,,,,,
SYSTEM,SYSTEM PUBLICATION SDN BHD,"7, Jalan Perindustrian PP4, Taman Bukit Serdang, 43300 Seri Kembangan, Selangor",43300,SELANGOR,MALAYSIA,017 2368083,,,,,,,,,,,,,
KINTRY,KINTRY FOOD CO,"27A, Jalan 16, Kampung Cheras Baru",56100,KUALA LUMPUR,MALAYSIA,016 3366686,ANDY@KINTRY.CO,,,,,,,,,,,,
HARMONI,HARMONI PUBLICATION & DISTRIBUTORS SDN BHD," K-G-17 & K-1-17, Jalan PJU 1A/20C, Dataran Ara Damansara, Selangor, 47301 Petaling Jaya",47301,SELANGOR,MALAYSIA,017 2368083,,,,,,,,,,,,,
DPSB,DYNAMIC PROMOTE SDN BHD,,402100,SELANGOR,MALAYSIA,017 2368083,,,,,,,,,,,,,
KANGKEATHIN,KANG KEAT HIN,,,KUALA LUMPUR,MALAYSIA,,,,,,,,,,,,,,
 SWEEWENG,SWEE WENG ENTERPRISE,"AS-93 ,JALAN HANG TUAH EMPAT , SALAK SOTH GARDEN",57100,KUALA LUMPUR,MALAYSIA,016-3911116,,,,,,,,,,,,,
TRUCKWORLD,TRUCK WORLD AUTO ASSEMBLY SDN BHD,"LOT 9198, JLN TELOK GONG, KAMPONG TELOK GONG,PORT KLANG",42000,SELANGOR,MALAYSIA,03 31341830,info@truckworld.com.my,,,,,,,,,,,,
SUNGHO,PERNIAGAAN SUNGHO FOOD SDN BHD,"43, JALAN BRP 1/5, BUKIT RAHMAN PUTRA, SG BULOH",47000,SELANGOR,MALAYSIA,03-61565822, myjajanviral@gmail.com  ,,,,,,,,,,,,
GLOBALTECH,GLOBAL TECH HYGIENE S/B,"NO.120, JALAN PP 1/4, TAMAN PUTRA PRIMA, PUCHONG",47100,SELANGOR,MALAYSIA,03-80627183,,,,,,,,,,,,,
LIPTAI,LIP TAI SDN BHD,"NO 6 JALAN TPP 1/5, TAMAN INDUSTRI PUCHONG",47100,SELANGOR,MALAYSIA,03 80627183,,,,,,,,,,,,,
CHUGOKU,CHUGOKU PAINTS (M) SDN BHD,"PLO 430, JALAN EMAS DUA, PASIR GUDANG INDUSTRIAL ESTATE,PASIR GUDANG",81700,JOHOR,MALAYSIA,60-(7)2511502,,,,,,,,,,,,,
MUSTREAD,MUST READ SDN BHD,"33 JALAN SBC 6, TAMAN SRI BATU CAVES",68100,SELANGOR,MALAYSIA,017 2368083,,,,,,,,,,,,,
MUBARUK,SS MUBARUK & BOOKS (M) SDN BHD,"No. 130-132-134, Jalan Sultan Yussuf",30000,PERAK,MALAYSIA,017 2368083,,"Ipoh, ",,,,,,,,,,,
SINARJERNIH,"SINAR JERNIH SDN BHD,","NO.41G, PETALING UATAM AVENUE, JLN PJS1/50, PETALING UTAMA,",46150,SELANGOR,MALAYSIA,03 77850908,info@sinarjernih.com.my,,,,,,,,,,,,
SOZO,SOZO PRODUCT DEVELOPMENT SDN BHD,"NO.10B, 2ND FLOOR, JLN SS 26/6, TMN MAYANG JAYA,",47301,SELANGOR ,MALAYSIA,03 78878335,,,,,,,,,,,,,
FESCO,FESCO TRADING CO.,"NO.3, JLN PBS 14/3, TMN PERINDUSTRIAN BKT SERDANG,",43300,SELANGOR,MALAYSIA,012 3342119,,,,,,,,,,,,,
SHINE2,SHINE SHINE (M) SDN BHD,"No 2, Jalan Putra Mahkota 7/6b, Putra Heights,",47650,SELANGOR,MALAYSIA, 012-824 6608, enquiry@shineshineclub.com,47650 Subang Jaya,,,,,,,,,,,
JIALIANG,PERNIAGAAN JIALIANG,,402100,SELANGOR,MALAYSIA,017 2368083,,,,,,,,,,,,,
 SAINTIFIK,SYARIKAT SAINTIFIK JAYA,"NO. 69, JALAN PENERBIT U1/43,TEMASYA INDUSTRIAL PARK,GLENMARIE,",40150,SELANGOR,MALAYSIA,03-5569 0758,,,,,,,,,,,,,
AR-RISALAH,AR-RISALAH PRODUCT SDN BHD,"NO 27 & 299, JALAN DBP, DOLOMITE BUSINESS PARK",68100,SELANGOR,MALAYSIA,03-61857006,sales@hidayah.com.my,,,,,,,,,,,,
 MASTER,MASTER AGENCIES (M) SDN BHD,"110-116, JLN 27, KAWASAN 16, SUNGAI RASA,",41300,SELANGOR,MALAYSIA,03-33418888,,,,,,,,,,,,,
RAYTHEME,RAY THEME SDN BHD,"NO.A-131,JLN 7 KOSMOPLEKS, BANDAR BARU SALAK TINGGI,",43900,SELANGOR,MALAYSIA,03 87051302,raytheme08@gamil.com,,,,,,,,,,,,
 BEHER,BEH-ER PUBLICATION SDN BHD,"NO.1, JLN 4/152, TMN PERINDUSTRIAN OUG, OFF JLN PUCHONG,",58200,SELANGOR,MALAYSIA,03 77816800,,,,,,,,,,,,,
HONGSUN,HONGSUN EDUCATIONAL SUPPLIES,"NO.19, JLN PERDANA 4, TMN SEGAR PERDANA,",43200,SELANGOR,MALAYSIA,03 90765769,,,,,,,,,,,,,
 MICROCHEM, MICROCHEM SCIENTIFIC SOLUTION,"NO.4-11, BIZ WALK, JLN TASIK PRIMA 6/2, TMN TASIK PRIMA,",47150,SELANGOR,MALAYSIA,012 3885265,,,,,,,,,,,,,
MSVINTAGE,MISS VINTAGE SHOP,,402100,SELANGOR,MALAYSIA,017 2368083,,,,,,,,,,,,,
LEDVANCE,Ledvance Sdn Bhd," No. 72A, Jalan Universiti, PETALING JAYA",46200,SELANGOR,MALAYSIA,03 79412266,waiching.phoon@ledvance.com,,,,,,,,,,,,
OSRAM,OSRAM (Malaysia) Sdn Bhd,"L8-02, 8TH FLOOR, TROPICANA CITY OFFICE TOWER, NO 3,",47400,SELANGOR,MALAYSIA,03 7959000,S.Teoh2@ledvance.com," JALAN SS20/27,",,,,,,,,,,,
PSHARDWARE,P&S HARDWARE SDN BHD,"NO7 JALAN MJ/4, MEDAN MAJU JAYA, BATU 7, JALAN KLANG LAMA,",46000,SELANGOR,MALAYSIA,03 77837228,pnshardware@yahoo.com,,,,,,,,,,,,
FSCREATIVO,FS CREATIVO (M) SDN BHD,"18-20 Jalan Seksyen 2/14, Taman Kajang Utama,",43000,SELANGOR,MALAYSIA,03 87372742,james.fscretivo@gmail.com,,,,,,,,,,,,
BOOKLINE,BOOKLINE SERVICES,"NO. 12 & 14, JALAN JASA 20, TAMAN MEDAN PEJASA,",46000,SELANGOR,MALAYSIA,03-7781 0104,-@BOOKLINE.COM,,,,,,,,,,,,
DARULFIKIR,DARULFIKIR,,50300,SELANGOR,MALAYSIA,03 26913892,,,,,,,,,,,,,
